"","year","frac","order"
"1984",1984,7267.15840231531,"Stream Order >= 8"
"1985",1985,7404.30695853553,"Stream Order >= 8"
"1986",1986,7685.40503982334,"Stream Order >= 8"
"1987",1987,7344.90830101404,"Stream Order >= 8"
"1988",1988,7590.55695572523,"Stream Order >= 8"
"1989",1989,7699.1413308118,"Stream Order >= 8"
"1990",1990,7548.97862789604,"Stream Order >= 8"
"1991",1991,7727.85541040055,"Stream Order >= 8"
"1992",1992,6975.67555049555,"Stream Order >= 8"
"1993",1993,7669.7319034063,"Stream Order >= 8"
"1994",1994,7809.96885664683,"Stream Order >= 8"
"1995",1995,7429.50165186449,"Stream Order >= 8"
"1996",1996,7382.2602916223,"Stream Order >= 8"
"1997",1997,7426.99438766551,"Stream Order >= 8"
"1998",1998,7619.72317904737,"Stream Order >= 8"
"1999",1999,7596.67638981128,"Stream Order >= 8"
"2000",2000,7244.67206033508,"Stream Order >= 8"
"2001",2001,7054.00766608067,"Stream Order >= 8"
"2002",2002,7165.72076065579,"Stream Order >= 8"
"2003",2003,6861.91819290309,"Stream Order >= 8"
"2004",2004,6778.55601280714,"Stream Order >= 8"
"2005",2005,6885.35017076628,"Stream Order >= 8"
"2006",2006,6866.52218926082,"Stream Order >= 8"
"2007",2007,7446.07156374568,"Stream Order >= 8"
"2008",2008,7435.26917838864,"Stream Order >= 8"
"2009",2009,7449.78454997766,"Stream Order >= 8"
"2010",2010,6973.99159556773,"Stream Order >= 8"
"2011",2011,6833.13150037067,"Stream Order >= 8"
"2012",2012,7004.01103480636,"Stream Order >= 8"
"2013",2013,7388.37801693929,"Stream Order >= 8"
"2014",2014,7345.98515637803,"Stream Order >= 8"
"2015",2015,7039.8212149945,"Stream Order >= 8"
"2016",2016,7088.51906824062,"Stream Order >= 8"
"2017",2017,7207.04313627543,"Stream Order >= 8"
"2018",2018,7153.96314253332,"Stream Order >= 8"
"19841",1984,4503.41100623257,"Stream Order = 7"
"19851",1985,4461.18591441929,"Stream Order = 7"
"19861",1986,4613.02665141732,"Stream Order = 7"
"19871",1987,4263.45207307324,"Stream Order = 7"
"19881",1988,4539.85609458188,"Stream Order = 7"
"19891",1989,4611.50416694598,"Stream Order = 7"
"19901",1990,4523.24522060198,"Stream Order = 7"
"19911",1991,4583.077041253,"Stream Order = 7"
"19921",1992,4106.60395313102,"Stream Order = 7"
"19931",1993,4715.98418186207,"Stream Order = 7"
"19941",1994,4683.79201689132,"Stream Order = 7"
"19951",1995,4426.18724216373,"Stream Order = 7"
"19961",1996,4490.10750897792,"Stream Order = 7"
"19971",1997,4439.61499925455,"Stream Order = 7"
"19981",1998,4488.46651906739,"Stream Order = 7"
"19991",1999,4616.26556846758,"Stream Order = 7"
"20001",2000,4557.21619412285,"Stream Order = 7"
"20011",2001,4181.43422822523,"Stream Order = 7"
"20021",2002,4407.56203744429,"Stream Order = 7"
"20031",2003,4228.99372895289,"Stream Order = 7"
"20041",2004,4359.38859984362,"Stream Order = 7"
"20051",2005,4135.61032672368,"Stream Order = 7"
"20061",2006,4284.56818506664,"Stream Order = 7"
"20071",2007,4436.187095968,"Stream Order = 7"
"20081",2008,4592.04302831094,"Stream Order = 7"
"20091",2009,4606.21253111869,"Stream Order = 7"
"20101",2010,4339.33718474124,"Stream Order = 7"
"20111",2011,4490.2613313006,"Stream Order = 7"
"20121",2012,4305.88662636552,"Stream Order = 7"
"20131",2013,4547.4355916608,"Stream Order = 7"
"20141",2014,4404.21517701608,"Stream Order = 7"
"20151",2015,4244.75315149059,"Stream Order = 7"
"20161",2016,4230.86223338094,"Stream Order = 7"
"20171",2017,4517.60916109099,"Stream Order = 7"
"20181",2018,4370.26476478808,"Stream Order = 7"
"19842",1984,2630.25154471667,"Stream Order = 6"
"19852",1985,2665.51808228848,"Stream Order = 6"
"19862",1986,2615.22243654491,"Stream Order = 6"
"19872",1987,2470.0482100859,"Stream Order = 6"
"19882",1988,2621.40319346084,"Stream Order = 6"
"19892",1989,2620.89214624068,"Stream Order = 6"
