"","year","spsum","order","slope","slope_perc","significance","unct","x","ymax","ymin","font_face"
"1",1984,970490.417607295,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"2",1985,1019156.54817264,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"3",1986,1024961.57024298,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"4",1987,1050220.17649703,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"5",1988,1042273.98225997,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"6",1989,1019033.41413464,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"7",1990,1012027.11502062,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"8",1991,1027327.24255294,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"9",1992,967247.329391866,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"10",1993,1016100.51529137,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"11",1994,1025603.08461066,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"12",1995,1031418.03672577,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"13",1996,972387.99241253,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"14",1997,967427.086788559,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"15",1998,1105521.10277994,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"16",1999,983001.256539508,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"17",2000,935862.479030614,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"18",2001,901025.950803801,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"19",2002,896553.821549383,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"20",2003,848364.231819678,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"21",2004,861806.49827896,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"22",2005,881106.01366843,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"23",2006,853340.575734607,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"24",2007,966579.142969839,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"25",2008,911208.158466566,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"26",2009,924084.161625787,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"27",2010,917434.767012518,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"28",2011,845360.274428278,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"29",2012,889617.795359781,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"30",2013,941930.972645623,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"31",2014,898324.948688209,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
"32",2015,860327.114132061,"Stream Order >= 8","-4859","-0.51",0.00000156212484411175,"0.084",2007,1105521.10277994,845360.274428278,"bold"
