"year","fdi"
1984,2.07936739257959
1985,2.05319377776632
1986,2.0258416599356
1987,2.02790571873927
1988,2.05011557130408
1989,2.03950308787809
1990,2.04834226997145
1991,2.02200050209199
1992,2.0633906938138
1993,2.03614849908001
1994,2.03263449288613
1995,2.05463288559618
1996,2.07446388670229
1997,2.03673580851373
1998,2.06146496746706
1999,2.05265442626663
2000,2.06737797939427
2001,2.06167944023009
2002,2.06534917179879
2003,2.06593670802013
2004,2.07233579654461
2005,2.06361657401092
2006,2.07709365019548
2007,2.0473529980572
2008,2.05493099463165
2009,2.03974210277638
2010,2.09841402238807
2011,2.10191977782265
2012,2.05199826004837
2013,2.05540126938035
2014,2.04017562142718
2015,2.05415882496186
2016,2.07697787407349
2017,2.07950536922391
2018,2.07701895432813
